2026-05-20_22:57:01 yago_formal_watchdog_start threshold_mb=24000
2026-05-20_23:34:06 used_mb=12514 total_mb=32768
2026-05-20_23:34:36 used_mb=12514 total_mb=32768
2026-05-20_23:35:06 used_mb=12514 total_mb=32768
2026-05-20_23:35:36 used_mb=12514 total_mb=32768
2026-05-20_23:36:06 used_mb=12514 total_mb=32768
2026-05-20_23:36:36 used_mb=12514 total_mb=32768
2026-05-20_23:37:06 used_mb=12514 total_mb=32768
2026-05-20_23:37:36 used_mb=12514 total_mb=32768
2026-05-20_23:38:06 used_mb=12514 total_mb=32768
2026-05-20_23:38:37 used_mb=12514 total_mb=32768
2026-05-20_23:39:07 used_mb=13234 total_mb=32768
2026-05-20_23:39:37 used_mb=13234 total_mb=32768
2026-05-20_23:40:07 used_mb=13234 total_mb=32768
2026-05-20_23:40:37 used_mb=13234 total_mb=32768
2026-05-20_23:41:07 used_mb=13234 total_mb=32768
2026-05-20_23:41:37 used_mb=13234 total_mb=32768
2026-05-20_23:42:07 used_mb=13234 total_mb=32768
2026-05-20_23:42:37 used_mb=13234 total_mb=32768
2026-05-20_23:43:07 used_mb=13234 total_mb=32768
2026-05-20_23:43:37 used_mb=13234 total_mb=32768
2026-05-20_23:44:07 used_mb=13234 total_mb=32768
2026-05-20_23:44:37 used_mb=13234 total_mb=32768
2026-05-20_23:45:07 used_mb=13234 total_mb=32768
2026-05-20_23:45:37 used_mb=13234 total_mb=32768
2026-05-20_23:46:08 used_mb=13234 total_mb=32768
2026-05-20_23:46:38 used_mb=13234 total_mb=32768
2026-05-20_23:47:08 used_mb=13234 total_mb=32768
2026-05-20_23:47:38 used_mb=13234 total_mb=32768
2026-05-20_23:48:08 used_mb=13234 total_mb=32768
2026-05-20_23:48:38 used_mb=13234 total_mb=32768
2026-05-20_23:49:08 used_mb=13234 total_mb=32768
2026-05-20_23:49:38 used_mb=13234 total_mb=32768
2026-05-20_23:50:08 used_mb=13234 total_mb=32768
2026-05-20_23:50:38 used_mb=13234 total_mb=32768
2026-05-20_23:51:08 used_mb=13234 total_mb=32768
2026-05-20_23:51:38 used_mb=13234 total_mb=32768
2026-05-20_23:52:08 used_mb=13234 total_mb=32768
2026-05-20_23:52:38 used_mb=13234 total_mb=32768
2026-05-20_23:53:08 used_mb=13234 total_mb=32768
2026-05-20_23:53:39 used_mb=13234 total_mb=32768
2026-05-20_23:54:09 used_mb=13234 total_mb=32768
2026-05-20_23:54:39 used_mb=13234 total_mb=32768
2026-05-20_23:55:09 used_mb=13234 total_mb=32768
2026-05-20_23:55:39 used_mb=13234 total_mb=32768
2026-05-20_23:56:09 used_mb=13234 total_mb=32768
2026-05-20_23:56:39 used_mb=13234 total_mb=32768
2026-05-20_23:57:09 used_mb=13234 total_mb=32768
2026-05-20_23:57:39 used_mb=13234 total_mb=32768
2026-05-20_23:58:09 used_mb=13234 total_mb=32768
2026-05-20_23:58:39 used_mb=13234 total_mb=32768
2026-05-20_23:59:09 used_mb=13234 total_mb=32768
2026-05-20_23:59:39 used_mb=13234 total_mb=32768
2026-05-21_00:00:09 used_mb=13234 total_mb=32768
2026-05-21_00:00:40 used_mb=13234 total_mb=32768
2026-05-21_00:01:10 used_mb=13234 total_mb=32768
2026-05-21_00:01:40 used_mb=13234 total_mb=32768
2026-05-21_00:02:10 used_mb=13234 total_mb=32768
2026-05-21_00:02:40 used_mb=13234 total_mb=32768
2026-05-21_00:03:10 used_mb=13234 total_mb=32768
2026-05-21_00:03:40 used_mb=13234 total_mb=32768
2026-05-21_00:04:10 used_mb=13234 total_mb=32768
2026-05-21_00:04:40 used_mb=13234 total_mb=32768
2026-05-21_00:05:10 used_mb=13234 total_mb=32768
2026-05-21_00:05:40 used_mb=13234 total_mb=32768
2026-05-21_00:06:10 used_mb=13234 total_mb=32768
2026-05-21_00:06:40 used_mb=13234 total_mb=32768
2026-05-21_00:07:10 used_mb=13234 total_mb=32768
2026-05-21_00:07:40 used_mb=13234 total_mb=32768
2026-05-21_00:08:11 used_mb=13234 total_mb=32768
2026-05-21_00:08:41 used_mb=13234 total_mb=32768
2026-05-21_00:09:11 used_mb=13234 total_mb=32768
2026-05-21_00:09:41 used_mb=13234 total_mb=32768
2026-05-21_00:10:11 used_mb=13234 total_mb=32768
2026-05-21_00:10:41 used_mb=13234 total_mb=32768
2026-05-21_00:11:11 used_mb=13234 total_mb=32768
2026-05-21_00:11:41 used_mb=13234 total_mb=32768
2026-05-21_00:12:11 used_mb=13234 total_mb=32768
2026-05-21_00:12:41 used_mb=13234 total_mb=32768
2026-05-21_00:13:11 used_mb=13234 total_mb=32768
2026-05-21_00:13:41 used_mb=13234 total_mb=32768
2026-05-21_00:14:11 used_mb=13234 total_mb=32768
2026-05-21_00:14:41 used_mb=13234 total_mb=32768
2026-05-21_00:15:11 used_mb=13234 total_mb=32768
2026-05-21_00:15:42 used_mb=13234 total_mb=32768
2026-05-21_00:16:12 used_mb=13234 total_mb=32768
2026-05-21_00:16:42 used_mb=13234 total_mb=32768
2026-05-21_00:17:12 used_mb=13234 total_mb=32768
2026-05-21_00:17:42 used_mb=13234 total_mb=32768
2026-05-21_00:18:12 used_mb=13234 total_mb=32768
2026-05-21_00:18:42 used_mb=13234 total_mb=32768
2026-05-21_00:19:12 used_mb=13234 total_mb=32768
2026-05-21_00:19:42 used_mb=13234 total_mb=32768
2026-05-21_00:20:12 used_mb=13234 total_mb=32768
2026-05-21_00:20:42 used_mb=13234 total_mb=32768
2026-05-21_00:21:12 used_mb=13234 total_mb=32768
2026-05-21_00:21:42 used_mb=13234 total_mb=32768
2026-05-21_00:22:12 used_mb=13234 total_mb=32768
2026-05-21_00:22:42 used_mb=13234 total_mb=32768
2026-05-21_00:23:13 used_mb=13234 total_mb=32768
2026-05-21_00:23:43 used_mb=13234 total_mb=32768
2026-05-21_00:24:13 used_mb=13234 total_mb=32768
2026-05-21_00:24:43 used_mb=13234 total_mb=32768
2026-05-21_00:25:13 used_mb=13234 total_mb=32768
2026-05-21_00:25:43 used_mb=13234 total_mb=32768
2026-05-21_00:26:13 used_mb=13234 total_mb=32768
2026-05-21_00:26:43 used_mb=13234 total_mb=32768
2026-05-21_00:27:13 used_mb=13234 total_mb=32768
2026-05-21_00:27:43 used_mb=13234 total_mb=32768
2026-05-21_00:28:13 used_mb=13234 total_mb=32768
2026-05-21_00:28:43 used_mb=13234 total_mb=32768
2026-05-21_00:29:13 used_mb=13234 total_mb=32768
2026-05-21_00:29:43 used_mb=13234 total_mb=32768
2026-05-21_00:30:13 used_mb=13234 total_mb=32768
2026-05-21_00:30:44 used_mb=13234 total_mb=32768
2026-05-21_00:31:14 used_mb=13234 total_mb=32768
2026-05-21_00:31:44 used_mb=13234 total_mb=32768
2026-05-21_00:32:14 used_mb=13234 total_mb=32768
2026-05-21_00:32:44 used_mb=13234 total_mb=32768
2026-05-21_00:33:14 used_mb=13234 total_mb=32768
2026-05-21_00:33:44 used_mb=13234 total_mb=32768
2026-05-21_00:34:14 used_mb=13234 total_mb=32768
2026-05-21_00:34:44 used_mb=13234 total_mb=32768
2026-05-21_00:35:14 used_mb=13234 total_mb=32768
2026-05-21_00:35:44 used_mb=13234 total_mb=32768
2026-05-21_00:36:14 used_mb=13234 total_mb=32768
2026-05-21_00:36:44 used_mb=13234 total_mb=32768
2026-05-21_00:37:14 used_mb=13234 total_mb=32768
2026-05-21_00:37:45 used_mb=13234 total_mb=32768
2026-05-21_00:38:15 used_mb=13234 total_mb=32768
2026-05-21_00:38:45 used_mb=13234 total_mb=32768
2026-05-21_00:39:15 used_mb=13234 total_mb=32768
2026-05-21_00:39:45 used_mb=13234 total_mb=32768
2026-05-21_00:40:15 used_mb=13234 total_mb=32768
2026-05-21_00:40:45 used_mb=13234 total_mb=32768
2026-05-21_00:41:15 used_mb=13234 total_mb=32768
2026-05-21_00:41:45 used_mb=13234 total_mb=32768
2026-05-21_00:42:15 used_mb=13234 total_mb=32768
2026-05-21_00:42:45 used_mb=13234 total_mb=32768
2026-05-21_00:43:15 used_mb=13234 total_mb=32768
2026-05-21_00:43:45 used_mb=13234 total_mb=32768
2026-05-21_00:44:15 used_mb=13234 total_mb=32768
2026-05-21_00:44:45 used_mb=13234 total_mb=32768
2026-05-21_00:45:16 used_mb=13234 total_mb=32768
2026-05-21_00:45:46 used_mb=13234 total_mb=32768
2026-05-21_00:46:16 used_mb=13234 total_mb=32768
2026-05-21_00:46:46 used_mb=13234 total_mb=32768
2026-05-21_00:47:16 used_mb=13234 total_mb=32768
2026-05-21_00:47:46 used_mb=13234 total_mb=32768
2026-05-21_00:48:16 used_mb=13234 total_mb=32768
2026-05-21_00:48:46 used_mb=13234 total_mb=32768
2026-05-21_00:49:16 used_mb=13234 total_mb=32768
2026-05-21_00:49:46 used_mb=13234 total_mb=32768
2026-05-21_00:50:16 used_mb=13234 total_mb=32768
2026-05-21_00:50:46 used_mb=13234 total_mb=32768
2026-05-21_00:51:16 used_mb=13234 total_mb=32768
2026-05-21_00:51:46 used_mb=13234 total_mb=32768
2026-05-21_00:52:16 used_mb=13234 total_mb=32768
2026-05-21_00:52:47 used_mb=13234 total_mb=32768
2026-05-21_00:53:17 used_mb=13234 total_mb=32768
2026-05-21_00:53:47 used_mb=13234 total_mb=32768
2026-05-21_00:54:17 used_mb=13234 total_mb=32768
2026-05-21_00:54:47 used_mb=13234 total_mb=32768
2026-05-21_00:55:17 used_mb=13234 total_mb=32768
2026-05-21_00:55:47 used_mb=13234 total_mb=32768
2026-05-21_00:56:17 used_mb=13234 total_mb=32768
2026-05-21_00:56:47 used_mb=13234 total_mb=32768
2026-05-21_00:57:17 used_mb=13234 total_mb=32768
2026-05-21_00:57:47 used_mb=13234 total_mb=32768
2026-05-21_00:58:17 used_mb=13234 total_mb=32768
2026-05-21_00:58:47 used_mb=13234 total_mb=32768
2026-05-21_00:59:17 used_mb=13234 total_mb=32768
2026-05-21_00:59:47 used_mb=13234 total_mb=32768
2026-05-21_01:00:18 used_mb=13234 total_mb=32768
2026-05-21_01:00:48 used_mb=13234 total_mb=32768
2026-05-21_01:01:18 used_mb=13234 total_mb=32768
2026-05-21_01:01:48 used_mb=13234 total_mb=32768
2026-05-21_01:02:18 used_mb=13234 total_mb=32768
2026-05-21_01:02:48 used_mb=13234 total_mb=32768
2026-05-21_01:03:18 used_mb=13234 total_mb=32768
2026-05-21_01:03:48 used_mb=13234 total_mb=32768
2026-05-21_01:04:18 used_mb=13234 total_mb=32768
2026-05-21_01:04:48 used_mb=13234 total_mb=32768
2026-05-21_01:05:18 used_mb=13234 total_mb=32768
2026-05-21_01:05:48 used_mb=13234 total_mb=32768
2026-05-21_01:06:18 used_mb=13234 total_mb=32768
2026-05-21_01:06:48 used_mb=13234 total_mb=32768
2026-05-21_01:07:19 used_mb=13234 total_mb=32768
2026-05-21_01:07:49 used_mb=13234 total_mb=32768
2026-05-21_01:08:19 used_mb=13234 total_mb=32768
2026-05-21_01:08:49 used_mb=13234 total_mb=32768
2026-05-21_01:09:19 used_mb=13234 total_mb=32768
2026-05-21_01:09:49 used_mb=13234 total_mb=32768
2026-05-21_01:10:19 used_mb=13234 total_mb=32768
2026-05-21_01:10:49 used_mb=13234 total_mb=32768
2026-05-21_01:11:19 used_mb=13234 total_mb=32768
2026-05-21_01:11:49 used_mb=13234 total_mb=32768
2026-05-21_01:12:19 used_mb=13234 total_mb=32768
2026-05-21_01:12:49 used_mb=13234 total_mb=32768
2026-05-21_01:13:19 used_mb=13234 total_mb=32768
2026-05-21_01:13:49 used_mb=13234 total_mb=32768
2026-05-21_01:14:19 used_mb=13234 total_mb=32768
2026-05-21_01:14:49 used_mb=13234 total_mb=32768
2026-05-21_01:15:20 used_mb=13234 total_mb=32768
2026-05-21_01:15:50 used_mb=13234 total_mb=32768
2026-05-21_01:16:20 used_mb=13234 total_mb=32768
2026-05-21_01:16:50 used_mb=13254 total_mb=32768
2026-05-21_01:17:20 used_mb=13254 total_mb=32768
2026-05-21_01:17:50 used_mb=13254 total_mb=32768
2026-05-21_01:18:20 used_mb=13254 total_mb=32768
2026-05-21_01:18:50 used_mb=13254 total_mb=32768
2026-05-21_01:19:20 used_mb=13254 total_mb=32768
2026-05-21_01:19:50 used_mb=13254 total_mb=32768
2026-05-21_01:20:20 used_mb=13254 total_mb=32768
2026-05-21_01:20:50 used_mb=13254 total_mb=32768
2026-05-21_01:21:20 used_mb=13254 total_mb=32768
2026-05-21_01:21:50 used_mb=13254 total_mb=32768
2026-05-21_01:22:20 used_mb=13254 total_mb=32768
2026-05-21_01:22:51 used_mb=13254 total_mb=32768
2026-05-21_01:23:21 used_mb=13254 total_mb=32768
2026-05-21_01:23:51 used_mb=13254 total_mb=32768
2026-05-21_01:24:21 used_mb=13254 total_mb=32768
2026-05-21_01:24:51 used_mb=13254 total_mb=32768
2026-05-21_01:25:21 used_mb=13254 total_mb=32768
2026-05-21_01:25:51 used_mb=13254 total_mb=32768
2026-05-21_01:26:21 used_mb=13254 total_mb=32768
2026-05-21_01:26:51 used_mb=13254 total_mb=32768
2026-05-21_01:27:21 used_mb=13254 total_mb=32768
2026-05-21_01:27:51 used_mb=13254 total_mb=32768
2026-05-21_01:28:21 used_mb=13254 total_mb=32768
2026-05-21_01:28:51 used_mb=13254 total_mb=32768
2026-05-21_01:29:21 used_mb=13254 total_mb=32768
2026-05-21_01:29:51 used_mb=13254 total_mb=32768
2026-05-21_01:30:22 used_mb=13254 total_mb=32768
2026-05-21_01:30:52 used_mb=13254 total_mb=32768
2026-05-21_01:31:22 used_mb=13254 total_mb=32768
2026-05-21_01:31:52 used_mb=13254 total_mb=32768
2026-05-21_01:32:22 used_mb=13254 total_mb=32768
2026-05-21_01:32:52 used_mb=13254 total_mb=32768
2026-05-21_01:33:22 used_mb=13254 total_mb=32768
2026-05-21_01:33:52 used_mb=13254 total_mb=32768
2026-05-21_01:34:22 used_mb=13254 total_mb=32768
2026-05-21_01:34:52 used_mb=13254 total_mb=32768
2026-05-21_01:35:22 used_mb=13254 total_mb=32768
2026-05-21_01:35:52 used_mb=13254 total_mb=32768
2026-05-21_01:36:22 used_mb=13254 total_mb=32768
2026-05-21_01:36:52 used_mb=13254 total_mb=32768
2026-05-21_01:37:23 used_mb=13254 total_mb=32768
2026-05-21_01:37:53 used_mb=13254 total_mb=32768
2026-05-21_01:38:23 used_mb=13254 total_mb=32768
2026-05-21_01:38:53 used_mb=13254 total_mb=32768
2026-05-21_01:39:23 used_mb=13254 total_mb=32768
2026-05-21_01:39:53 used_mb=13254 total_mb=32768
2026-05-21_01:40:23 used_mb=13254 total_mb=32768
2026-05-21_01:40:53 used_mb=13254 total_mb=32768
2026-05-21_01:41:23 used_mb=13254 total_mb=32768
2026-05-21_01:41:53 used_mb=13254 total_mb=32768
2026-05-21_01:42:23 used_mb=13254 total_mb=32768
2026-05-21_01:42:53 used_mb=13254 total_mb=32768
2026-05-21_01:43:23 used_mb=13254 total_mb=32768
2026-05-21_01:43:53 used_mb=13254 total_mb=32768
2026-05-21_01:44:23 used_mb=13254 total_mb=32768
2026-05-21_01:44:54 used_mb=13254 total_mb=32768
2026-05-21_01:45:24 used_mb=13254 total_mb=32768
2026-05-21_01:45:54 used_mb=13254 total_mb=32768
2026-05-21_01:46:24 used_mb=13254 total_mb=32768
2026-05-21_01:46:54 used_mb=13254 total_mb=32768
2026-05-21_01:47:24 used_mb=13254 total_mb=32768
2026-05-21_01:47:54 used_mb=13254 total_mb=32768
2026-05-21_01:48:24 used_mb=13254 total_mb=32768
2026-05-21_01:48:54 used_mb=13254 total_mb=32768
2026-05-21_01:49:24 used_mb=13254 total_mb=32768
2026-05-21_01:49:54 used_mb=13254 total_mb=32768
2026-05-21_01:50:24 used_mb=13254 total_mb=32768
2026-05-21_01:50:54 used_mb=13254 total_mb=32768
2026-05-21_01:51:24 used_mb=13254 total_mb=32768
2026-05-21_01:51:55 used_mb=13254 total_mb=32768
2026-05-21_01:52:25 used_mb=13254 total_mb=32768
2026-05-21_01:52:55 used_mb=13254 total_mb=32768
2026-05-21_01:53:25 used_mb=13254 total_mb=32768
2026-05-21_01:53:55 used_mb=13254 total_mb=32768
2026-05-21_01:54:25 used_mb=13254 total_mb=32768
2026-05-21_01:54:55 used_mb=13254 total_mb=32768
2026-05-21_01:55:25 used_mb=13254 total_mb=32768
2026-05-21_01:55:55 used_mb=13254 total_mb=32768
2026-05-21_01:56:25 used_mb=13254 total_mb=32768
2026-05-21_01:56:55 used_mb=13254 total_mb=32768
2026-05-21_01:57:25 used_mb=13254 total_mb=32768
2026-05-21_01:57:55 used_mb=13254 total_mb=32768
2026-05-21_01:58:25 used_mb=13254 total_mb=32768
2026-05-21_01:58:55 used_mb=13254 total_mb=32768
2026-05-21_01:59:26 used_mb=13254 total_mb=32768
2026-05-21_01:59:56 used_mb=13254 total_mb=32768
2026-05-21_02:00:26 used_mb=13254 total_mb=32768
2026-05-21_02:00:56 used_mb=13254 total_mb=32768
2026-05-21_02:01:26 used_mb=13254 total_mb=32768
2026-05-21_02:01:56 used_mb=13254 total_mb=32768
2026-05-21_02:02:26 used_mb=13254 total_mb=32768
2026-05-21_02:02:56 used_mb=13254 total_mb=32768
2026-05-21_02:03:26 used_mb=13254 total_mb=32768
2026-05-21_02:03:56 used_mb=13254 total_mb=32768
2026-05-21_02:04:26 used_mb=13254 total_mb=32768
2026-05-21_02:04:56 used_mb=13254 total_mb=32768
2026-05-21_02:05:26 used_mb=13254 total_mb=32768
2026-05-21_02:05:56 used_mb=13254 total_mb=32768
2026-05-21_02:06:27 used_mb=13254 total_mb=32768
2026-05-21_02:06:57 used_mb=13254 total_mb=32768
2026-05-21_02:07:27 used_mb=13254 total_mb=32768
2026-05-21_02:07:57 used_mb=13254 total_mb=32768
2026-05-21_02:08:27 used_mb=13254 total_mb=32768
2026-05-21_02:08:57 used_mb=13254 total_mb=32768
2026-05-21_02:09:27 used_mb=13254 total_mb=32768
2026-05-21_02:09:57 used_mb=13254 total_mb=32768
2026-05-21_02:10:27 used_mb=13254 total_mb=32768
2026-05-21_02:10:57 used_mb=13254 total_mb=32768
2026-05-21_02:11:27 used_mb=13254 total_mb=32768
2026-05-21_02:11:57 used_mb=13254 total_mb=32768
2026-05-21_02:12:27 used_mb=13254 total_mb=32768
2026-05-21_02:12:57 used_mb=13254 total_mb=32768
2026-05-21_02:13:28 used_mb=13254 total_mb=32768
2026-05-21_02:13:58 used_mb=13254 total_mb=32768
2026-05-21_02:14:28 used_mb=13254 total_mb=32768
2026-05-21_02:14:58 used_mb=13254 total_mb=32768
2026-05-21_02:15:28 used_mb=13254 total_mb=32768
2026-05-21_02:15:58 used_mb=13254 total_mb=32768
2026-05-21_02:16:28 used_mb=13254 total_mb=32768
2026-05-21_02:16:58 used_mb=13254 total_mb=32768
2026-05-21_02:17:28 used_mb=13254 total_mb=32768
2026-05-21_02:17:58 used_mb=13254 total_mb=32768
2026-05-21_02:18:28 used_mb=13254 total_mb=32768
2026-05-21_02:18:58 used_mb=13254 total_mb=32768
2026-05-21_02:19:28 used_mb=13254 total_mb=32768
2026-05-21_02:19:58 used_mb=13254 total_mb=32768
2026-05-21_02:20:28 used_mb=13254 total_mb=32768
2026-05-21_02:20:59 used_mb=13254 total_mb=32768
2026-05-21_02:21:29 used_mb=13254 total_mb=32768
2026-05-21_02:21:59 used_mb=13254 total_mb=32768
2026-05-21_02:22:29 used_mb=13254 total_mb=32768
2026-05-21_02:22:59 used_mb=13254 total_mb=32768
2026-05-21_02:23:29 used_mb=13254 total_mb=32768
2026-05-21_02:23:59 used_mb=13254 total_mb=32768
2026-05-21_02:24:29 used_mb=13254 total_mb=32768
2026-05-21_02:24:59 used_mb=13256 total_mb=32768
2026-05-21_02:25:29 used_mb=13256 total_mb=32768
2026-05-21_02:25:59 used_mb=13256 total_mb=32768
2026-05-21_02:26:29 used_mb=13256 total_mb=32768
2026-05-21_02:26:59 used_mb=13256 total_mb=32768
2026-05-21_02:27:29 used_mb=13256 total_mb=32768
2026-05-21_02:27:59 used_mb=13256 total_mb=32768
2026-05-21_02:28:30 used_mb=13256 total_mb=32768
2026-05-21_02:29:00 used_mb=13256 total_mb=32768
2026-05-21_02:29:30 used_mb=13256 total_mb=32768
2026-05-21_02:30:00 used_mb=13256 total_mb=32768
2026-05-21_02:30:30 used_mb=13256 total_mb=32768
2026-05-21_02:31:00 used_mb=13256 total_mb=32768
2026-05-21_02:31:30 used_mb=13256 total_mb=32768
2026-05-21_02:32:00 used_mb=13256 total_mb=32768
2026-05-21_02:32:30 used_mb=13256 total_mb=32768
2026-05-21_02:33:00 used_mb=13256 total_mb=32768
2026-05-21_02:33:30 used_mb=13256 total_mb=32768
2026-05-21_02:34:00 used_mb=13256 total_mb=32768
2026-05-21_02:34:30 used_mb=13256 total_mb=32768
2026-05-21_02:35:00 used_mb=13256 total_mb=32768
2026-05-21_02:35:30 used_mb=13256 total_mb=32768
2026-05-21_02:36:01 used_mb=13256 total_mb=32768
2026-05-21_02:36:31 used_mb=13256 total_mb=32768
2026-05-21_02:37:01 used_mb=13256 total_mb=32768
2026-05-21_02:37:31 used_mb=13256 total_mb=32768
2026-05-21_02:38:01 used_mb=13256 total_mb=32768
2026-05-21_02:38:31 used_mb=13256 total_mb=32768
2026-05-21_02:39:01 used_mb=13256 total_mb=32768
2026-05-21_02:39:31 used_mb=13256 total_mb=32768
2026-05-21_02:40:01 used_mb=13256 total_mb=32768
2026-05-21_02:40:31 used_mb=13256 total_mb=32768
2026-05-21_02:41:01 used_mb=13256 total_mb=32768
2026-05-21_02:41:31 used_mb=13256 total_mb=32768
2026-05-21_02:42:01 used_mb=13256 total_mb=32768
2026-05-21_02:42:31 used_mb=13256 total_mb=32768
2026-05-21_02:43:01 used_mb=13256 total_mb=32768
2026-05-21_02:43:32 used_mb=13256 total_mb=32768
2026-05-21_02:44:02 used_mb=13256 total_mb=32768
2026-05-21_02:44:32 used_mb=13256 total_mb=32768
2026-05-21_02:45:02 used_mb=13256 total_mb=32768
2026-05-21_02:45:32 used_mb=13256 total_mb=32768
2026-05-21_02:46:02 used_mb=13256 total_mb=32768
2026-05-21_02:46:32 used_mb=13256 total_mb=32768
2026-05-21_02:47:02 used_mb=13256 total_mb=32768
2026-05-21_02:47:32 used_mb=13256 total_mb=32768
2026-05-21_02:48:02 used_mb=13256 total_mb=32768
2026-05-21_02:48:32 used_mb=13256 total_mb=32768
2026-05-21_02:49:02 used_mb=13256 total_mb=32768
2026-05-21_02:49:32 used_mb=13256 total_mb=32768
2026-05-21_02:50:02 used_mb=13296 total_mb=32768
2026-05-21_02:50:32 used_mb=13296 total_mb=32768
2026-05-21_02:51:03 used_mb=13636 total_mb=32768
2026-05-21_02:51:33 used_mb=13636 total_mb=32768
2026-05-21_02:52:03 used_mb=13636 total_mb=32768
2026-05-21_02:52:33 used_mb=13636 total_mb=32768
2026-05-21_02:53:03 used_mb=13636 total_mb=32768
2026-05-21_02:53:33 used_mb=13636 total_mb=32768
2026-05-21_02:54:03 used_mb=13636 total_mb=32768
2026-05-21_02:54:33 used_mb=13636 total_mb=32768
2026-05-21_02:55:03 used_mb=13636 total_mb=32768
2026-05-21_02:55:33 used_mb=13636 total_mb=32768
2026-05-21_02:56:03 used_mb=13636 total_mb=32768
2026-05-21_02:56:33 used_mb=13636 total_mb=32768
2026-05-21_02:57:03 used_mb=13636 total_mb=32768
