run,dataset,scenario,method,ablation,rows,test_auc,test_ap,test_mrr,test_hits@1,test_hits@10,test_hits@50,test_hits@100,test_ndcg,val_auc,val_ap,val_ndcg
ssptgfm_synthetic_full_best_stronggate_v4_formal,synthetic,standard,ssptgfm,full,5,0.8558961805555555,0.20855269331926563,0.09908043731028568,0.028000000000000004,0.22800000000000004,0.743,0.826,0.7367580311567201,0.8752581944444445,0.23226459660769638,0.748564348209159
ssptgfm_synthetic_full_best_stronggate_v4_formal,synthetic,standard,structure_mlp,baseline,5,0.8570291666666666,0.201124824845123,0.10342755737623308,0.016999999999999998,0.25999999999999995,0.764,0.8150000000000001,0.706946975299625,0.8364815277777777,0.1782106391116155,0.6910346261192442
ssptgfm_synthetic_hallucination_stress_best_stronggate_v4_formal,synthetic_hallucination_stress,hallucination_stress,lm_mlp,baseline,5,0.8524027777777776,0.20842739480297978,0.09675975683763248,0.024,0.24500000000000002,0.733,0.808,0.7169710778426293,0.8473913194444445,0.20109397066030313,0.7073488934593232
ssptgfm_synthetic_hallucination_stress_best_stronggate_v4_formal,synthetic_hallucination_stress,hallucination_stress,ssptgfm,full,5,0.8474445833333334,0.20331011013197836,0.10730966134328541,0.039,0.233,0.732,0.799,0.7292609861302912,0.871985625,0.23111614550640613,0.7485472177484586
ssptgfm_synthetic_hallucination_stress_best_stronggate_v4_formal,synthetic_hallucination_stress,hallucination_stress,structure_mlp,baseline,5,0.8570291666666666,0.201124824845123,0.10342755737623308,0.016999999999999998,0.25999999999999995,0.764,0.8150000000000001,0.706946975299625,0.8364815277777777,0.1782106391116155,0.6910346261192442
ssptgfm_synthetic_new_node_best_stronggate_v4_formal,synthetic,new_node_inductive,lm_mlp,baseline,5,0.7643892176199869,0.13218001177404526,0.06177796338169256,0.014102564102564103,0.1205128205128205,0.6692307692307693,0.7333333333333333,0.570355956143386,0.7844847337278107,0.13518152223512186,0.564543666317738
ssptgfm_synthetic_new_node_best_stronggate_v4_formal,synthetic,new_node_inductive,ssptgfm,full,5,0.7909796186719265,0.13406825181991244,0.059472934768256824,0.008974358974358974,0.11923076923076921,0.6461538461538461,0.7679487179487179,0.592956163728448,0.8119801183431953,0.11467117901117503,0.5545110211987212
ssptgfm_synthetic_new_node_best_stronggate_v4_formal,synthetic,new_node_inductive,structure_mlp,baseline,5,0.5825581854043393,0.0866520094973174,0.05880987086695762,0.011538461538461537,0.13589743589743591,0.3128205128205128,0.5641025641025641,0.5583678563265504,0.5274849704142012,0.03779513137527489,0.4471085671440612
ssptgfm_synthetic_new_relation_best_stronggate_v4_formal,synthetic,new_relation_inductive,lm_mlp,baseline,5,0.8497629049483801,0.1710908609189331,0.09827164522815282,0.022641509433962266,0.19245283018867926,0.7150943396226415,0.8169811320754718,0.5930197773719241,0.8394220408163265,0.1744262033619839,0.610781289800088
ssptgfm_synthetic_new_relation_best_stronggate_v4_formal,synthetic,new_relation_inductive,ssptgfm,full,5,0.4951427554289783,0.04531935946949076,0.034168482714004064,0.007547169811320755,0.06792452830188679,0.2509433962264151,0.3943396226415094,0.4565392542601737,0.4758906122448979,0.04451551180477858,0.4791840104243855
ssptgfm_synthetic_new_relation_best_stronggate_v4_formal,synthetic,new_relation_inductive,structure_mlp,baseline,5,0.7891092915628338,0.16118692339724863,0.07859571695160635,0.01509433962264151,0.15849056603773584,0.7056603773584905,0.8056603773584905,0.604867692111364,0.7379420408163264,0.1427998328779347,0.6161365623076558
ssptgfm_synthetic_ood_time_best_stronggate_v4_formal,synthetic,ood_time,lm_mlp,baseline,5,0.8610669444444443,0.21352509937682324,0.09369830127306131,0.022,0.20800000000000002,0.728,0.8160000000000001,0.726331408057616,0.8489108333333334,0.21006222492217558,0.7211429437620537
ssptgfm_synthetic_ood_time_best_stronggate_v4_formal,synthetic,ood_time,ssptgfm,full,5,0.855896388888889,0.2085528550187315,0.09908043731028568,0.028000000000000004,0.22800000000000004,0.743,0.826,0.7367580940508885,0.8752583333333334,0.2322648965657023,0.7485644798107455
ssptgfm_synthetic_ood_time_best_stronggate_v4_formal,synthetic,ood_time,structure_mlp,baseline,5,0.8570291666666666,0.201124824845123,0.10342755737623308,0.016999999999999998,0.25999999999999995,0.764,0.8150000000000001,0.706946975299625,0.8364815277777777,0.1782106391116155,0.6910346261192442
